INDEX,NAME,NUMBER,HEIGHT,WEIGHT,POSITION,DOB,GOALS
1,Trần Bửu Ngọc,1,192,93,Thủ môn,26-02-1991,0
2,Kim Dongsu,3,188,85,Hậu vệ,21-03-1995,0
3,Memovic Damir,4,196,91,Hậu vệ,19-01-1989,0
4,Trần Hữu Đông Triều,5,174,72,Hậu vệ,20-08-1995,0
5,Lương Xuân Trường,6,178,72,Tiền vệ,28-04-1995,1
6,Nguyễn Phong Hồng Duy,7,169,68,Hậu vệ,13-06-1996,0
7,Trần Minh Vương,8,166,67,Tiền vệ,28-03-1995,4
8,Nguyễn Văn Toàn,9,170,62,Tiền đạo,12-04-1996,7
9,Nguyễn Công Phượng,10,168,65,Tiền đạo,21-01-1995,6
10,Nguyễn Tuấn Anh,11,175,68,Tiền vệ,16-05-1995,0
11,Tiêu Ê Xal,12,180,74,Hậu vệ,14-08-2000,0
12,Nguyễn Hữu Tuấn,15,178,68,Hậu vệ,06-05-1992,0
13,Vũ Văn Thanh,17,172,72,Hậu vệ,14-04-1996,2
14,Trần Bảo Toàn,20,170,64,Tiền vệ,14-07-2000,0
15,Nguyễn Kiên Quyết,21,168,61,Hậu vệ,14-11-1996,0
16,Châu Ngọc Quang,24,170,60,Tiền vệ,01-02-1996,0
17,Huỳnh Tuấn Linh,26,180,80,Thủ môn,12-04-1991,0
18,Đặng Thanh Hoàng,27,183,79,Hậu vệ,21-07-1997,0
19,Nguyễn Văn Việt,28,177,75,Hậu vệ,17-01-1989,0
20,Washington Brandão Dos Santos,30,183,77,Tiền đạo,18-08-1990,3
21,Phan Đức Lễ,39,177,68,Hậu vệ,17-10-1993,0
22,Nguyễn Duy Kiên,45,176,66,Hậu vệ,23-11-2000,0
23,Lê Đức Lương,66,171,71,Hậu vệ,18-08-1994,0
24,Dụng Quang Nho,86,171,66,Hậu vệ,01-01-2000,0
25,Lê Văn Trường,95,180,78,Thủ môn,25-12-1995,0
26,Triệu Việt Hưng,97,170,65,Tiền vệ,19-01-1997,0
27,Nguyễn Trung Đại Dương,99,188,86,Tiền đạo,09-02-1986,0
